    Polar bear mastadenovirus 1,NC_040811,https://www.ncbi.nlm.nih.gov/nuccore/1571847474
    Porcine adenovirus 4,NC_038334,https://www.ncbi.nlm.nih.gov/nuccore/1464307104
    Porcine adenovirus 5,NC_002702,https://www.ncbi.nlm.nih.gov/nuccore/13487858
    Simian adenovirus 1,NC_006879,https://www.ncbi.nlm.nih.gov/nuccore/61602086
    Simian adenovirus 13,NC_028103,https://www.ncbi.nlm.nih.gov/nuccore/944325197
    Simian adenovirus 16,NC_028105,https://www.ncbi.nlm.nih.gov/nuccore/944325335
    Simian adenovirus 18,NC_022266,https://www.ncbi.nlm.nih.gov/nuccore/540155826
    Simian adenovirus 20,NC_020485,https://www.ncbi.nlm.nih.gov/nuccore/460042637
    Simian adenovirus 3,NC_006144,https://www.ncbi.nlm.nih.gov/nuccore/51518815
          Simian adenovirus 49,NC_015225,https://www.ncbi.nlm.nih.gov/nuccore/327415370
          Simian adenovirus 8,NC_028113,https://www.ncbi.nlm.nih.gov/nuccore/944326138
    Simian adenovirus DM-2014,NC_025678,https://www.ncbi.nlm.nih.gov/nuccore/723633163
    Simian mastadenovirus WIV19,NC_032105,https://www.ncbi.nlm.nih.gov/nuccore/1115242064
    Skunk adenovirus PB1,NC_027708,https://www.ncbi.nlm.nih.gov/nuccore/918020092
    Titi monkey adenovirus ECC-2011,NC_020487,https://www.ncbi.nlm.nih.gov/nuccore/496838689
    Tree shrew adenovirus 1,NC_044936,https://www.ncbi.nlm.nih.gov/nuccore/1755165852
    bat adenovirus 3,NC_016895,https://www.ncbi.nlm.nih.gov/nuccore/1125788697
    red squirrel adenovirus 1,NC_035207,https://www.ncbi.nlm.nih.gov/nuccore/1215835541
    Chinstrap penguin adenovirus 2,NC_030116,https://www.ncbi.nlm.nih.gov/nuccore/1028369791
    Frog adenovirus 1,NC_002501,https://www.ncbi.nlm.nih.gov/nuccore/9635795
    Great tit adenovirus 1,NC_043405,https://www.ncbi.nlm.nih.gov/nuccore/1694998270
    Raptor adenovirus 1,NC_015455,https://www.ncbi.nlm.nih.gov/nuccore/331271175
    Skua adenovirus 1,NC_016437,https://www.ncbi.nlm.nih.gov/nuccore/363540913
    Turkey adenovirus 3,NC_001958,https://www.ncbi.nlm.nih.gov/nuccore/9630778
,,
